"","Type","Price","CPU_Speed","GPU","Max_Video","Bandwidth","Memory_Type","Memory","Weight","Volume"
"1","PS4 Slim 500G",-0.34502307185234,0.146373784444945,-0.213915813589381,"1080p",-0.105516025338568,"GGDR5",0.447883055509396,-0.435294117647059,-0.432660325147751
"2","PS4 Slim 1TB",-0.14726433750824,-0.372273920740812,-0.304877676607194,"1080p",-0.424819363509831,"GGDR5",-0.260515251463204,-0.435294117647059,-0.432660325147751
"3","PS4 Pro",0.18233355306526,0.0644176612198372,0.335256381399272,"4k",-0.313659568832771,"GGDR5 ",-0.552116944490604,0.270588235294118,0.567339674852249
"4","Xbox One X",0.65497692814766,-0.419258762461985,0.591768554398652,"4k",0.268814321191003,"GGDR5",-0.0831339150649844,0.564705882352941,0.144181752998482
"5","Xbox One S",-0.34502307185234,0.580741237538015,-0.408231445601348,"4k",0.575180636490169,"DDR3",0.447883055509396,0.0352941176470589,0.153799222444769
